,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
13659,13659,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012983,,Bild,Ekstase des heiligen Franziskus,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1620,,,,,,,,,,,,,,,,,,,,,,,,,,
13659scan,13659scan,2023.02.02,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70012983,,Bild,Ekstase des heiligen Franziskus,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1620,,,,,,,,,,,,,,,,,,,,,,,,,,
13170,13170,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07701932,,Pendants?,,,,,Lorenzo di Credi,,,,,,,"07701932,T,001",Bild,Maria von Ägypten,,,,,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,
13170scan,13170scan,2022.11.23,,,"['vor 1912', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07701932,,Pendants?,,,,,Lorenzo di Credi,,,,,,,"07701932,T,001",Bild,Maria von Ägypten,,,,,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,
452395,452395,1988.03.24,,Mal. Ren.,,,07701932,,Pendants?,,,,,Lorenzo di Credi,,,,,,,"07701932,T,002",Bild,Stigmatisierung des heiligen Franz von Assisi,,,,,Ajaccio,Musée Palais Fesch,,,,,,,,,,,,,,,,
13463,13463,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013081,,Bild,Thronende Madonna mit Kind und den heiligen Antonius Abbas und Sebastian,,,,"Moretto, Alessandro",Frankfurt,Städel Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13463scan,13463scan,2023.02.24,,,"['vor 1899', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70013081,,Bild,Thronende Madonna mit Kind und den heiligen Antonius Abbas und Sebastian,,,,"Moretto, Alessandro",Frankfurt,Städel Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13406,13406,1912,"Buerkel, Ludwig von",Mal. Ren.,1895,Hanfstaengl,07704896,,Bild,Der büßende heilige Hieronymus,,,,Maestro dei dodici Apostoli,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13406scan,13406scan,2022.11.21,,,"['1895', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07704896,,Bild,Der büßende heilige Hieronymus,,,,Maestro dei dodici Apostoli,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124455,124455,1939.09.07,Museum,Mal. Ren.,,"Schwarz, Gustav (1871)",07704896,,Bild,Der büßende heilige Hieronymus,,,,Maestro dei dodici Apostoli,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13660,13660,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70013001,,Bild,Der Evangelist Johannes,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,,
13660scan,13660scan,2023.02.03,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70013001,,Bild,Der Evangelist Johannes,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,,
275483,275483,1971.12.13,Bibliotheca Hertziana,Mal. Bar.,vor 1971,Villani,70013001,,Bild,Der Evangelist Johannes,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,,
13394,13394,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07702827,,Bild,Der Knabe mit dem Pfeil,,,,Giorgione,Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13394scan,13394scan,2022.11.21,,,"['vor 1912', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07702827,,Bild,Der Knabe mit dem Pfeil,,,,Giorgione,Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200125,200125,1964.11.02,"Camesasca, Ettore",Mal. Ren.,,,07702827,,Bild,Der Knabe mit dem Pfeil,,,,Giorgione,Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13763,13763,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Anderson,07604168,,Bild,Vision des heiligen Romuald,,,,"Sacchi, Andrea",Rom,"Monumenti, Musei e Gallerie Pontificie",Rom,San Romualdo,1631,,,,,,,,,,,,,,,,,,,,,,,,,,
13763scan,13763scan,2022.11.23,,,"['vor 1899', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",07604168,,Bild,Vision des heiligen Romuald,,,,"Sacchi, Andrea",Rom,"Monumenti, Musei e Gallerie Pontificie",Rom,San Romualdo,1631,,,,,,,,,,,,,,,,,,,,,,,,,,
556955,556955,2001.07.03,"Heikamp, Detlef",Mal. Bar.,,,07604168,,Bild,Vision des heiligen Romuald,,,,"Sacchi, Andrea",Rom,"Monumenti, Musei e Gallerie Pontificie",Rom,San Romualdo,1631,,,,,,,,,,,,,,,,,,,,,,,,,,
13391,13391,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,unbekannt,70013093,,Bild,Maria Magdalena,,,,"Galli, Giovanni Antonio",Montepulciano,Museo Civico,,,1630/1650,,,,,,,,,,,,,,,,,,,,,,,,,,
13391scan,13391scan,2023.02.26,,,"['vor 1912', '2022.10.04']","['unbekannt', 'Digitallabor KHI nach historischer Vorlage']",70013093,,Bild,Maria Magdalena,,,,"Galli, Giovanni Antonio",Montepulciano,Museo Civico,,,1630/1650,,,,,,,,,,,,,,,,,,,,,,,,,,
13364,13364,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Brogi,70013122,,Bild,Pietà,,,,"Cambiaso, Luca",Genua,Chiesa di Nostra Signora Assunta di Carignano,,,1571,,,,,,,,,,,,,,,,,,,,,,,,,,
13364scan,13364scan,2023.03.02,,,"['vor 1899', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013122,,Bild,Pietà,,,,"Cambiaso, Luca",Genua,Chiesa di Nostra Signora Assunta di Carignano,,,1571,,,,,,,,,,,,,,,,,,,,,,,,,,
17593,17593,1924.12.08,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Anderson,70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,,"Conca, Sebastiano",,,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
17593scan,17593scan,2023.03.01,,,"['vor 1899', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,,"Conca, Sebastiano",,,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
418686,418686,1984.06.29,,Mal. Bar.,,"Hutzel, Max",70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,,"Conca, Sebastiano",,,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
418688,418688,1984.06.29,,Mal. Bar.,,"Hutzel, Max",70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,,"Conca, Sebastiano",,,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
222975,222975,1967.05.31,,Mal. Bar.,,"Poensgen, Thomas",70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,,"Conca, Sebastiano",,,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
222976,222976,1967.05.31,,Mal. Bar.,,"Poensgen, Thomas",70013110,,Deckenbild,Die Verklärung der heiligen Cäcilia,,,,"Conca, Sebastiano",,,Rom,Santa Cecilia in Trastevere,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
13565,13565,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Tamme, Rudolph",07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
13565scan,13565scan,2022.11.24,,,"['vor 1912', '2022.10.04']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
115204,115204,1937.09.01,,Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
115205,115205,1937.09.01,,Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
115206,115206,1937.09.01,,Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
157358,157358,1958.06.26,,Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
283457,283457,1972.12.20,,Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
294358,294358,1974.01.22,"Burckhardt, Jakob (Nachlass)",Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
294363,294363,1974.01.22,"Burckhardt, Jakob (Nachlass)",Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
471093,471093,1990.01.23,"Heinemann, Fritz",Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
492184,492184,1992.09.17,"Hueck, Irene",Mal. Ren.,,,07703022,,Bild,Bildnis einer Dame in Weiß,,,,Tizian,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1555,,,,,,,,,,,,,,,,,,,,,,,,,,
13488,13488,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013039,,Bild,Bildnis eines Würdenträgers,,,,Parmigianino,Wien,Kunsthistorisches Museum Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13488scan,13488scan,2023.02.13,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013039,,Bild,Bildnis eines Würdenträgers,,,,Parmigianino,Wien,Kunsthistorisches Museum Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478877,478877,1991.01.02,"Heinemann, Fritz",Mal. Ren.,,unbekannt,70013039,,Bild,Bildnis eines Würdenträgers,,,,Parmigianino,Wien,Kunsthistorisches Museum Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13628,13628,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Reali,70013112,,Bild,Circe,,,,"Furini, Francesco",Lucca,Museo Nazionale di Palazzo Mansi,,,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
13628scan,13628scan,2023.03.01,,,"['vor 1912', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",70013112,,Bild,Circe,,,,"Furini, Francesco",Lucca,Museo Nazionale di Palazzo Mansi,,,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
269423,269423,1971.03.13,"Meloni Trkulja, Silvia",Mal. Bar.,,unbekannt,70013112,,Bild,Circe,,,,"Furini, Francesco",Lucca,Museo Nazionale di Palazzo Mansi,,,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
186253,186253,1963.03.29,,Mal. Bar.,,unbekannt,70013112,,Bild,Circe,,,,"Furini, Francesco",Lucca,Museo Nazionale di Palazzo Mansi,,,1721/1724,,,,,,,,,,,,,,,,,,,,,,,,,,
13658,13658,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70013003,,Bild,Der Evangelist Matthäus,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,,
13658scan,13658scan,2023.02.03,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70013003,,Bild,Der Evangelist Matthäus,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,,
13666,13666,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,70013015,,Bild,"['Tempelreinigung', 'Vertreibung der Geldwechsler aus dem Tempel']",,,,Guercino,Genua,Galleria di Palazzo Rosso,,,1634,,,,,,,,,,,,,,,,,,,,,,,,,,
13666scan,13666scan,2023.02.09,,,"['vor 1912', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013015,,Bild,"['Tempelreinigung', 'Vertreibung der Geldwechsler aus dem Tempel']",,,,Guercino,Genua,Galleria di Palazzo Rosso,,,1634,,,,,,,,,,,,,,,,,,,,,,,,,,
13683,13683,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Hanfstaengl,70013027,,Bild,Susanna im Bade,,,,Guercino,Madrid,Museo del Prado,,,1617,,,,,,,,,,,,,,,,,,,,,,,,,,
13683scan,13683scan,2023.02.10,,,"['vor 1912', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013027,,Bild,Susanna im Bade,,,,Guercino,Madrid,Museo del Prado,,,1617,,,,,,,,,,,,,,,,,,,,,,,,,,
290221,290221,1973.11.16,"Hueck, Irene",Mal. Bar.,,unbekannt,70013027,,Bild,Susanna im Bade,,,,Guercino,Madrid,Museo del Prado,,,1617,,,,,,,,,,,,,,,,,,,,,,,,,,
290899,290899,1973.12.19,,Mal. Bar.,,unbekannt,70013027,,Bild,Susanna im Bade,,,,Guercino,Madrid,Museo del Prado,,,1617,,,,,,,,,,,,,,,,,,,,,,,,,,
13500,13500,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
13500scan,13500scan,2022.11.23,,,"['vor 1912', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
127604,127604,1940.11.09,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
127605,127605,1940.11.09,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
127606,127606,1940.11.09,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134769,134769,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
179119,179119,1962.09.12,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262633,262633,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262634,262634,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262635,262635,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
274998,274998,1971.11.19,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
393725,393725,1981.11.02,"Pudelko, Georg",Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
419802,419802,1984.09.13,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
419803,419803,1984.09.13,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
419804,419804,1984.09.13,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,002",Altarbild,Grablegung Christi,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
115644,115644,1937.10.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
133881/1,133881/1,1942.02.24,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
133881/2,133881/2,1942.02.24,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
133882/1,133882/1,1942.02.24,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
133882/2,133882/2,1942.02.24,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134768,134768,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134763,134763,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134762,134762,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262636,262636,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262637,262637,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262638,262638,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262639,262639,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262640,262640,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
315552,315552,1975.12.10,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
446298,446298,1987.09.22,"Conti, Alessandro",Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
495206,495206,1993.02.02,"Licandro, Franca",Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
539858,539858,1997.11.10,,Mal. Ren.,,"Bazzechi, Ivo",07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,003",Wandbild,Verkündigung,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134767,134767,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,004",Deckenbild,Der heilige Matthäus,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262641,262641,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,004",Deckenbild,Der heilige Matthäus,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134765,134765,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,005",Deckenbild,Der heilige Markus,,,,"Bronzino, Agnolo",,,,,,,,,,,,,,,,,,
171069,171069,1961.10.11,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,005",Deckenbild,Der heilige Markus,,,,"Bronzino, Agnolo",,,,,,,,,,,,,,,,,,
134766,134766,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,006",Deckenbild,Der heilige Lukas,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
171068,171068,1961.10.11,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,006",Deckenbild,Der heilige Lukas,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262642,262642,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,006",Deckenbild,Der heilige Lukas,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
262643,262643,1970.08.07,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,006",Deckenbild,Der heilige Lukas,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
134764,134764,1942.05.16,,Mal. Ren.,,,07703777,,Zyklus,Malerische Ausstattung,,,,,,,Florenz,Santa Felicità,1525-1528,,"07703777,T,007",Deckenbild,Der heilige Johannes Evangelist,,,,"Pontormo, Jacopo",,,,,,,,,,,,,,,,,,
13655,13655,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012996,,Bild,Der Tod des Adonis,,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13655scan,13655scan,2023.02.03,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70012996,,Bild,Der Tod des Adonis,,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13257,13257,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013070,,Bild,Marienkrönung,,,,"Pintoricchio, Bernardino",Rom,Musei Vaticani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
