,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
13460,13460,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1876,Alinari,70013154,,Bild,Verkündigung,,,,"Venusti, Marcello",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1551/1560,,,,,,,,,,,,,,,,,,,,,,,,,,
13460scan,13460scan,2023.03.20,,,"['vor 1876', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",70013154,,Bild,Verkündigung,,,,"Venusti, Marcello",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1551/1560,,,,,,,,,,,,,,,,,,,,,,,,,,
13408,13408,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13408scan,13408scan,2023.03.20,,,"['vor 1896', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393286,393286,1981.10.21,"Pudelko, Georg",Mal. Ren.,vor 1896,Brogi,70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13566,13566,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,,,
13566scan,13566scan,2023.02.13,,,"['vor 1894', '2022.10.04']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,,,
471092,471092,1990.01.23,"Heinemann, Fritz",Mal. Ren.,,unbekannt,70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,,,
13435,13435,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,,,
13435scan,13435scan,2023.02.15,,,"['vor 1912', '2022.10.04']","['Fiorentini', 'Digitallabor KHI nach historischer Vorlage']",70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,,,
