,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
41,41830,1927,No Data,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,
42,167962,1960,No Data,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,
43,13397,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,"Tamme, Rudolph",07858122,,Bild,Madonna des heiligen Sebastian,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,
44,30302,1926,"Ergas, Rudolf",Mal. Ren.,,,07858122,,Bild,Madonna des heiligen Sebastian,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,
45,5224,1906,No Data,Mal. Ren.,vor 1906,,07858122,,Bild,Madonna des heiligen Sebastian,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,
46,289432,1973,No Data,Mal. Ren.,vor 1900,,07858122,,Bild,Madonna des heiligen Sebastian,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,
47,13530,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013209,,Bild,Bacchanal,,,"Giordano, Luca",Rom,Villa Albani,Rom,Villa Albani,,,,,,,,,,,,,,,,,,,,,,,,,
48,13657,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012992,,Bild,Lot mit seinen Töchtern,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1650,,,,,,,,,,,,,,,,,,,,,,,,
49,13400,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,unbekannt,70013010,,Bild,Die heilige Nacht,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,
50,157342,1958,No Data,Mal. Ren.,vor 1958,unbekannt,70013010,,Bild,Die heilige Nacht,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,
51,30307,1926,"Ergas, Rudolf",Mal. Ren.,vor 1906,Alinari,70013010,,Bild,Die heilige Nacht,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,
52,13689,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Brogi,70013022,,Bild,"Die heilige Theresia mit den heiligen Albert von Jerusalem, Joseph und Maria mit Kind",,zerstört,Guercino,Messina,San Gregorio,Messina,San Gregorio,1659,,,,,,,,,,,,,,,,,,,,,,,,
53,13366,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013034,,Bild,Grablegung Christi,,,"Salviati, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,
54,397907,1982,"Pudelko, Georg",Mal. Ren.,vor 1903,Brogi,70013034,,Bild,Grablegung Christi,,,"Salviati, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13629,1912,"Bodmer, Heinrich",Mal. Bar.,vor 1912,unbekannt,70013155,,Bild,Andromeda,,,"Furini, Francesco",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1625/1649,,,,,,,,,,,,,,,,,,,,,,,,
56,131236,1941,No Data,Mal. Bar.,vor 1935,Anderson,70013155,,Bild,Andromeda,,,"Furini, Francesco",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1625/1649,,,,,,,,,,,,,,,,,,,,,,,,
57,5220,1906,No Data,Mal. Ren.,,,07702806,,Bild,"Maria mit dem Kinde, Johannes dem Täufer und der heiligen Katharina",,,"Palma, Jacopo (1480)",Dresden,Staatliche Kunstsammlungen Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,13477,1912,"Buerkel, Ludwig von",Mal. Ren.,1900,"Tamme, Rudolph",07702806,,Bild,"Maria mit dem Kinde, Johannes dem Täufer und der heiligen Katharina",,,"Palma, Jacopo (1480)",Dresden,Staatliche Kunstsammlungen Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,56691,1929,"Bodmer-Bodmer, ? (Frau)",Mal. Ren.,,,07702806,,Bild,"Maria mit dem Kinde, Johannes dem Täufer und der heiligen Katharina",,,"Palma, Jacopo (1480)",Dresden,Staatliche Kunstsammlungen Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13482,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013131,,Bild,Frauenbildnis,,,"Lotto, Lorenzo",,unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,13558,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,unbekannt,07703013,,Bild,Kopf eines jungen Mannes mit rotem Barett,,,Tizian,Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,1516,,,,,,,,,,,,,,,,,,,,,,,,
62,13564,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,,07703025,,Bild,Bildnis eines bärtigen jungen Mannes,,,Tizian,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1525/1530,,,,,,,,,,,,,,,,,,,,,,,,
63,47511,1927,"Gebhard, Fritz",Mal. Ren.,,,07703025,,Bild,Bildnis eines bärtigen jungen Mannes,,,Tizian,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1525/1530,,,,,,,,,,,,,,,,,,,,,,,,
64,122602,1939,Museum,Mal. Ren.,,,07703025,,Bild,Bildnis eines bärtigen jungen Mannes,,,Tizian,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1525/1530,,,,,,,,,,,,,,,,,,,,,,,,
65,471590,1990,"Heinemann, Fritz",Mal. Ren.,,"Steinkopf, Walter",07703025,,Bild,Bildnis eines bärtigen jungen Mannes,,,Tizian,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1525/1530,,,,,,,,,,,,,,,,,,,,,,,,
66,401299,1982,No Data,Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,,,,,,,,,,,,,,,,,,,,,,,
