,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2,Artist_wd_nameprep
313,13575,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013068,,Bild,Kreuzabnahme,,,"Vasari, Giorgio",Rom,Galleria Doria Pamphilj,,,1533-1538,,,,,,,,,,,,,,,,,,,,,,,,,Giorgio Vasari
314,13777,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,"Hermans, Gustave",70013206,,Bild,Ruinen mit Figuren,,,"Pannini, Giovanni Paolo",Brüssel,Musées Royaux des Beaux-Arts de Belgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Paolo Pannini
315,13606,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1899,Brogi,70013109,,Bild,Christus und der ungläubige Thomas,,,"Strozzi, Bernardo",Genua,Galleria di Palazzo Rosso,,,um 1630,,,,,,,,,,,,,,,,,,,,,,,,,Bernardo Strozzi
319,13232,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07770005,,Bild,Der heilige Hieronymus im Studierzimmer,,,Antonello da Messina,London,National Gallery,,,um 1474,,,,,,,,,,,,,,,,,,,,,,,,,Antonello da Messina
321,13171,1912,"Buerkel, Ludwig von",Mal. Ren.,1897,Bruckmann,07701994,,Bild,Maria mit dem Kind und einem Engel,,,Lorenzo di Credi,Malibu,J. Paul Getty Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo di Credi
324,13498,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013031,,Bild,Anbetung der heiligen drei Könige,,,"Pontormo, Jacopo",Firenze,"Galleria Palatina, Palazzo Pitti",,,1520,,,,,,,,,,,,,,,,,,,,,,,,,Jacopo Pontormo
326,13582,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1907,Anderson,70013140,,Wandbild,Kreuzabnahme,,,Daniele da Volterra,Rom,Santissima Trinità dei Monti,Rom,Santissima Trinità dei Monti,,,,,,,,,,,,,,,,,,,,,,,,,,Daniele da Volterra
328,13127,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013043,,Bild,Maria mit Kind und einem Stiftenpaar,,,"Bellini, Gentile",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,um 1460,,,,,,,,,,,,,,,,,,,,,,,,,Gentile Bellini
330,13301,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013055,,Bild,Der heilige Christophorus,,,"Tura, Cosimo",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,um 1484,,,,,,,,,,,,,,,,,,,,,,,,,Cosimo Tura
333,13465,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013067,,Bild,"Die heilige Justina, von einem Stifter verehrt",,,"Moretto, Alessandro",Wien,Kunsthistorisches Museum Wien,,,1530/1534,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Moretto
336,13487,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07901936,,Bild,Madonna mit Kind und dem heiligen Bruno,,,"Mazzola-Bedoli, Girolamo",München,Bayerische Staatsgemäldesammlungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girolamo Mazzola-Bedoli
338,13456,1912,"Buerkel, Ludwig von",Mal. Ren.,1900,"Schwarz, Arthur",07700239,,Bild,Bildnis Michelangelo Buonarroti,,,"Venusti, Marcello",Rom,Pinacoteca Capitolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcello Venusti
341,13439,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013057,,Bild,Die heilige Maria Magdalena,,,"Ubertini, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,um 1530,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Ubertini
344,13526,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Brogi,70013207,,Bild,"Madonna in der Glorie mit den heiligen Lucia, Agatha und Märtyrern",,,"Rizzo, Antonio",Messina,Chiesa di Santa Lucia,Messina,Chiesa di Santa Lucia,1591,,,,,,,,,,,,,,,,,,,,,,,,,Antonello Riccio
345,13572,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013069,,Bild,Die drei Grazien,,,"Manetti, Rutilio di Lorenzo",Rom,Galleria Borghese,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutilio di Lorenzo Manetti
346,13128,1912,"Buerkel, Ludwig von",Mal. Ren.,1895,Hanfstaengl,07705394,,Bild,Heiliger Sebastian,,,"Basaiti, Marco",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Basaiti
348,13568,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07703028,,Bild,Selbstbildnis,,,Tizian,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1550,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
